name,content,display_addr,latitude,longitude
臺北市政府警察局總局,臺北市政府警察局總局,臺北市延平南路96號,25.0439111,121.5097688
大同分局,大同分局,臺北市錦西街200號,25.059372,121.5150906
萬華分局,萬華分局,臺北市康定路22號,25.045123,121.502931
中山分局,中山分局,臺北市中山北路二段1號,25.0524875,121.522842
大安分局,大安分局,臺北市仁愛路三段2號,25.0378724,121.533106
中正第一分局,中正第一分局,臺北市公園路15號,25.0390056,121.4481423
中正第二分局,中正第二分局,臺北市南海路35號,25.0320412,121.5139746
松山分局,松山分局,臺北市南京東路四段12號,25.051286,121.552394
信義分局,信義分局,臺北市信義路五段17號,25.0331408,121.5680334
士林分局,士林分局,臺北市文林路235號,25.0906919,121.5266752
北投分局,北投分局,臺北市中央北路一段1號,25.1333343,121.5014293
文山第一分局,文山第一分局,臺北市木柵路二段202號,24.9887889,121.5635456
文山第二分局,文山第二分局,臺北市景中街2號,24.9928162,121.5410417
南港分局,南港分局,臺北市向陽路150號,25.0553339,121.5948701
內湖分局,內湖分局,臺北市民權東路六段101號,25.0691894,121.589565
刑事警察大隊,刑事警察大隊,臺北市武昌街一段69號,25.0442461,121.5099955
保安警察大隊,保安警察大隊,臺北市延壽街339號,25.0567995,121.5596173
交通警察大隊,交通警察大隊,臺北市北平東路1號,25.0472691,121.5206749
少年警察隊,少年警察隊,臺北市信義路五段180號,25.0330948,121.5743184
婦幼警察隊,婦幼警察隊,臺北市信義路五段180號,25.0330948,121.5743184
捷運警察隊,捷運警察隊,臺北市華陰街32號,25.0492476,121.5187331
通信隊,通信隊,臺北市延平南路96號,25.0439111,121.5097688
寧夏路派出所,隸屬大同分局,臺北市錦西街200號,25.059372,121.5150906
民族路派出所,隸屬大同分局,臺北市重慶北路三段168號,25.0688292,121.5134803
大橋派出所,隸屬大同分局,臺北市延平北路三段2號,25.0632792,121.5108456
重慶北路派出所,隸屬大同分局,臺北市重慶北路三段320-2號,25.0753508,121.5135534
延平派出所,隸屬大同分局,臺北市延平北路一段86號,25.0521655,121.5116931
民生西路派出所,隸屬大同分局,臺北市保安街47-1號,25.0592239,121.512054
雙連派出所,隸屬大同分局,臺北市民生西路198號,25.0570355,121.5168404
建成派出所,隸屬大同分局,臺北市承德路一段80號,25.0527926,121.5172947
漢中街派出所,隸屬萬華分局,臺北市漢中街122號,25.0420955,121.5073497
桂林路派出所,隸屬萬華分局,臺北市萬華區西園路1段156之1號,25.0372254,121.4993519
昆明街派出所,隸屬萬華分局,臺北市昆明街245號,25.0378338,121.5039354
康定路派出所,隸屬萬華分局,臺北市和平西路三段112號,25.0350824,121.5005103
東園街派出所,隸屬萬華分局,臺北市長泰街130號,25.0223948,121.4982081
西園路派出所,隸屬萬華分局,臺北市東園街17號,25.0280848,121.4956659
大理街派出所,隸屬萬華分局,臺北市大理街99號,25.0344029,121.4982979
華江派出所,隸屬萬華分局,臺北市環河南路二段196號,25.0342853,121.4932177
莒光派出所,隸屬萬華分局,臺北市莒光路171號,24.9998519,121.472932
武昌街派出所,隸屬萬華分局,臺北市西寧南路4號,25.0479004,121.5069691
青年路派出所,隸屬萬華分局,臺北市萬大路423巷114號,25.0219144,121.5021766
中山一派出所,隸屬中山分局,臺北市中山北路一段110號,25.0500057,121.5214311
中山二派出所,隸屬中山分局,臺北市中山北路二段90號,25.0577524,121.5226173
圓山派出所,隸屬中山分局,臺北市中山北路三段62號,25.0727314,121.5238607
長春路派出所,隸屬中山分局,臺北市長春路206號,25.0546395,121.5360472
長安東路派出所,隸屬中山分局,臺北市長安東路二段165號,25.0483336,121.5404211
民權一派出所,隸屬中山分局,臺北市新生北路二段127-1號,25.0599554,121.5279445
建國派出所,隸屬中山分局,臺北市民族東路284號,25.0680074,121.5360473
大直派出所,隸屬中山分局,臺北市北安路456號,25.0795106,121.544124
新生南路派出所,隸屬大安分局,臺北市仁愛路三段18號,25.0378152,121.5340116
和平東路派出所,隸屬大安分局,臺北市和平東路一段143號,25.0266151,121.5305091
安和路派出所,隸屬大安分局,臺北市信義路四段216號,25.0329951,121.5521851
瑞安街派出所,隸屬大安分局,臺北市瑞安街23巷17號,25.0311932,121.545068
敦化南路派出所,隸屬大安分局,臺北市復興南路一段219之1號,25.0391486,121.5441208
羅斯福路派出所,隸屬大安分局,臺北市羅斯福路四段113巷13號,25.0111861,121.5388738
臥龍街派出所,隸屬大安分局,臺北市臥龍街185號,25.0180005,121.5518352
博愛路派出所,隸屬中正第一分局,臺北市博愛路119號,25.0417823,121.5115685
忠孝東路派出所,隸屬中正第一分局,臺北市忠孝東路二段10號,25.0436743,121.5271714
介壽路派出所,隸屬中正第一分局,臺北市公園路54號,25.0394255,121.449321
仁愛路派出所,隸屬中正第一分局,臺北市仁愛路一段19號,25.0389572,121.5226615
忠孝西路派出所,隸屬中正第一分局,臺北市公園路15號,25.0390056,121.4481423
廈門街派出所,隸屬中正第二分局,臺北市廈門街43號,25.0258641,121.5176852
思源街派出所,隸屬中正第二分局,臺北市汀州路三段72號,25.0151341,121.5320627
泉州街派出所,隸屬中正第二分局,臺北市中華路二段503號,25.0243042,121.5120731
南昌街派出所,隸屬中正第二分局,臺北市南昌路一段7號,25.0323688,121.5165391
南海路派出所,隸屬中正第二分局,臺北市南海路35號,25.0320412,121.5139746
松山派出所,隸屬松山分局,臺北市八德路四段692號,25.0499073,121.57726
中崙派出所,隸屬松山分局,臺北市南京東路四段12號,25.051286,121.552394
東社派出所,隸屬松山分局,臺北市敦化北路199巷5-1號,25.0567317,121.5514737
民有派出所,隸屬松山分局,臺北市民權東路3段162號,25.0618179,121.5480767
三民派出所,隸屬松山分局,臺北市民生東路5段163-1號,25.0593151,121.5629083
三張犁派出所,隸屬信義分局,臺北市信義路五段17號,25.0331408,121.5680334
五分埔派出所,隸屬信義分局,臺北市永吉路333號,25.0457035,121.5758421
吳興街派出所,隸屬信義分局,臺北市吳興街262號,25.0265855,121.5639282
福德街派出所,隸屬信義分局,臺北市福德街198號,25.0373281,121.5815548
六張犁派出所,隸屬信義分局,臺北市嘉興街301號,25.0237023,121.5550853
文林派出所,隸屬士林分局,臺北市文林路235號,25.0906919,121.5266752
社子派出所,隸屬士林分局,臺北市延平北路六段237號,25.0892747,121.504709
後港派出所,隸屬士林分局,臺北市福港街151號,25.0872939,121.518051
蘭雅派出所,隸屬士林分局,臺北市中山北路六段153號,25.1065714,121.5246848
芝山岩派出所,隸屬士林分局,臺北市仰德大道一段16號,25.101122,121.537886
天母派出所,隸屬士林分局,臺北市中山北路七段192號,25.1250013,121.5329663
永福派出所,隸屬士林分局,臺北市仰德大道三段49號,25.1184393,121.5523639
山仔後派出所,隸屬士林分局,臺北市格致路39號,25.1372852,121.5463593
溪山派出所,隸屬士林分局,臺北市至善路三段263號,25.1197357,121.5845271
翠山派出所,隸屬士林分局,臺北市中社路一段56號,25.1081261,121.5602615
長安派出所,隸屬北投分局,臺北市中央北路一段1號,25.1333343,121.5014293
光明派出所,隸屬北投分局,臺北市泉源路14號,25.13737,121.504243
大屯派出所,隸屬北投分局,臺北市中和街534號,25.1455412,121.4932189
關渡派出所,隸屬北投分局,臺北市大度路三段305號,25.1229971,121.4659472
公園派出所,隸屬北投分局,臺北市紗帽路110號,25.1488478,121.5486709
奇岩派出所,隸屬北投分局,臺北市公館路209巷11號,25.132962,121.504826
竹子湖派出所,隸屬北投分局,臺北市竹子湖路16號,25.1674669,121.5402074
永明派出所,隸屬北投分局,臺北市石牌路二段101號,25.1179343,121.5169494
石牌派出所,隸屬北投分局,臺北市文林北路296號,25.1099348,121.5124581
木柵派出所,隸屬文山第一分局,臺北市木柵路二段202號,24.9887889,121.5635456
木新派出所,隸屬文山第一分局,臺北市文山區恆光街45號,24.9824043,121.5672982
復興派出所,隸屬文山第一分局,臺北市木柵路一段54號,24.9867694,121.5470169
指南派出所,隸屬文山第一分局,臺北市指南路二段177號,24.9873027,121.5779593
萬芳派出所,隸屬文山第一分局,臺北市萬美街一段50號,25.0022655,121.5668969
景美派出所,隸屬文山第二分局,臺北市景中街2號,24.9928162,121.5410417
興隆派出所,隸屬文山第二分局,臺北市興隆路二段156號,25.0015122,121.5511872
萬盛派出所,隸屬文山第二分局,臺北市羅斯福路五段151號,25.003904,121.5389083
同德派出所,隸屬南港分局,臺北市同德路83號,25.0461086,121.5856772
南港派出所,隸屬南港分局,臺北市興中路12巷2號,25.0549451,121.607169
舊庄派出所,隸屬南港分局,臺北市舊莊街一段213號,25.0384311,121.6226627
玉成派出所,隸屬南港分局,臺北市向陽路150號,25.0553339,121.5948701
內湖派出所,隸屬內湖分局,臺北市內湖路二段261號,25.0820751,121.5901333
潭美派出所,隸屬內湖分局,臺北市新明路324號,25.0553025,121.5816589
西湖派出所,隸屬內湖分局,臺北市瑞光路515號,25.079179,121.5691512
港墘派出所,隸屬內湖分局,臺北市內湖路一段550號,25.0788249,121.5768116
大湖派出所,隸屬內湖分局,臺北市成功路五段1號,25.0840934,121.6013234
文德派出所,隸屬內湖分局,臺北市民權東路六段26號,25.0665885,121.578944
東湖派出所,隸屬內湖分局,臺北市五分街10號,25.0674688,121.6129898
康樂派出所,隸屬內湖分局,臺北市康樂街110巷16弄20號,25.0704268,121.6183878
康寧派出所,隸屬內湖分局,臺北市金湖路83號,25.0812607,121.597549